instance_id,event,anchor_location,anchor_timestamp,anchor_url,context8_url,context8_timestamp,context9_url,context9_timestamp,context10_url,context10_timestamp,context11_url,context11_timestamp,context12_url,context12_timestamp,context13_url,context13_timestamp
springbreak2020_1241078247829450752,springbreak2020,Miami,Fri Mar 20 19:04:47 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/springbreak2020_1241078247829450752_anchor_1241078247829450752.png,http://www.cse.unt.edu/~blanco/screenshot/springbreak2020_1241078247829450752_1240003772929146891.png,Tue Mar 17 19:55:12 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/springbreak2020_1241078247829450752_1240636620224765953.png,Thu Mar 19 13:49:54 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/springbreak2020_1241078247829450752_1240637484364693507.png,Thu Mar 19 13:53:20 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/springbreak2020_1241078247829450752_1241714023244193798.png,Sun Mar 22 13:11:07 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/springbreak2020_1241078247829450752_1242207078313349123.png,Mon Mar 23 21:50:21 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/springbreak2020_1241078247829450752_1244386112174522369.png,Sun Mar 29 22:09:03 +0000 2020
memorialday2019_1131693727796342785,memorialday2019,Toledo,Thu May 23 22:49:45 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1131693727796342785_anchor_1131693727796342785.png,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1131693727796342785_1130063086478614528.png,Sun May 19 10:50:10 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1131693727796342785_1130118886827986944.png,Sun May 19 14:31:53 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1131693727796342785_1130227997083086850.png,Sun May 19 21:45:27 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1131693727796342785_1132421730537037824.png,Sat May 25 23:02:34 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1131693727796342785_1132500289536319488.png,Sun May 26 04:14:44 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1131693727796342785_1132692754696425473.png,Sun May 26 16:59:31 +0000 2019
springbreak2019_1106635544195407874,springbreak2019,Houston,Fri Mar 15 19:17:28 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1106635544195407874_anchor_1106635544195407874.png,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1106635544195407874_1106549850143895554.png,Fri Mar 15 13:36:57 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1106635544195407874_1106550212699582464.png,Fri Mar 15 13:38:24 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1106635544195407874_1106553264403824642.png,Fri Mar 15 13:50:31 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1106635544195407874_1106730091936186370.png,Sat Mar 16 01:33:10 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1106635544195407874_1106730586184581120.png,Sat Mar 16 01:35:08 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1106635544195407874_1106731681329889280.png,Sat Mar 16 01:39:29 +0000 2019
laborday2019_1170080490784796680,laborday2019,Mesa,Fri Sep 06 21:05:02 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/laborday2019_1170080490784796680_anchor_1170080490784796680.png,http://www.cse.unt.edu/~blanco/screenshot/laborday2019_1170080490784796680_1159883303429857281.png,Fri Aug 09 17:45:03 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/laborday2019_1170080490784796680_1161773899576696834.png,Wed Aug 14 22:57:37 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/laborday2019_1170080490784796680_1169856299950989312.png,Fri Sep 06 06:14:11 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/laborday2019_1170080490784796680_1170904281131769858.png,Mon Sep 09 03:38:29 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/laborday2019_1170080490784796680_1172561741353574400.png,Fri Sep 13 17:24:38 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/laborday2019_1170080490784796680_1174809138033020928.png,Thu Sep 19 22:15:00 +0000 2019
springbreak2019_1111388075714736130,springbreak2019,Miami,Thu Mar 28 22:02:20 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1111388075714736130_anchor_1111388075714736130.png,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1111388075714736130_1111366716183986182.png,Thu Mar 28 20:37:27 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1111388075714736130_1111366718100832257.png,Thu Mar 28 20:37:28 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1111388075714736130_1111366719761719296.png,Thu Mar 28 20:37:28 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1111388075714736130_1111388079946776577.png,Thu Mar 28 22:02:21 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1111388075714736130_1111388081976799237.png,Thu Mar 28 22:02:21 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1111388075714736130_1111388084044595203.png,Thu Mar 28 22:02:22 +0000 2019
memorialday2019_1130939872649334790,memorialday2019,Detroit,Tue May 21 20:54:12 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1130939872649334790_anchor_1130939872649334790.png,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1130939872649334790_1130517305333571586.png,Mon May 20 16:55:04 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1130939872649334790_1130527282093875200.png,Mon May 20 17:34:42 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1130939872649334790_1130939713131618304.png,Tue May 21 20:53:34 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1130939872649334790_1130941115576848384.png,Tue May 21 20:59:08 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1130939872649334790_1130947402389774336.png,Tue May 21 21:24:07 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1130939872649334790_1131011701510410242.png,Wed May 22 01:39:37 +0000 2019
memorialday2020_1265394040243204102,memorialday2020,Cleveland,Tue May 26 21:27:03 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/memorialday2020_1265394040243204102_anchor_1265394040243204102.png,http://www.cse.unt.edu/~blanco/screenshot/memorialday2020_1265394040243204102_1265355530643673094.png,Tue May 26 18:54:02 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/memorialday2020_1265394040243204102_1265378182007578625.png,Tue May 26 20:24:02 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/memorialday2020_1265394040243204102_1265390645188997120.png,Tue May 26 21:13:34 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/memorialday2020_1265394040243204102_1265406883453599748.png,Tue May 26 22:18:05 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/memorialday2020_1265394040243204102_1265408352433176577.png,Tue May 26 22:23:56 +0000 2020,http://www.cse.unt.edu/~blanco/screenshot/memorialday2020_1265394040243204102_1265652895204225026.png,Wed May 27 14:35:39 +0000 2020
springbreak2019_1109669709912436736,springbreak2019,Miami,Sun Mar 24 04:14:10 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1109669709912436736_anchor_1109669709912436736.png,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1109669709912436736_1108981991632973824.png,Fri Mar 22 06:41:25 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1109669709912436736_1109111313291247622.png,Fri Mar 22 15:15:18 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1109669709912436736_1109484488063635456.png,Sat Mar 23 15:58:09 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1109669709912436736_1109952985491222529.png,Sun Mar 24 22:59:48 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1109669709912436736_1110526249062072321.png,Tue Mar 26 12:57:45 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1109669709912436736_1110528900810133504.png,Tue Mar 26 13:08:17 +0000 2019
memorialday2019_1132427585332371461,memorialday2019,Chicago,Sat May 25 23:25:50 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1132427585332371461_anchor_1132427585332371461.png,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1132427585332371461_1131739721791606784.png,Fri May 24 01:52:31 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1132427585332371461_1131941734282350593.png,Fri May 24 15:15:14 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1132427585332371461_1131960223944593408.png,Fri May 24 16:28:42 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1132427585332371461_1132435861675679746.png,Sat May 25 23:58:43 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1132427585332371461_1132452346926161920.png,Sun May 26 01:04:14 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/memorialday2019_1132427585332371461_1132453543439458305.png,Sun May 26 01:08:59 +0000 2019
springbreak2019_1108852706935009280,springbreak2019,Omaha,Thu Mar 21 22:07:41 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1108852706935009280_anchor_1108852706935009280.png,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1108852706935009280_1108487196275810305.png,Wed Mar 20 21:55:16 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1108852706935009280_1108733726404628480.png,Thu Mar 21 14:14:54 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1108852706935009280_1108744442264150017.png,Thu Mar 21 14:57:29 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1108852706935009280_1108881397282992128.png,Fri Mar 22 00:01:41 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1108852706935009280_1109290459669635072.png,Sat Mar 23 03:07:09 +0000 2019,http://www.cse.unt.edu/~blanco/screenshot/springbreak2019_1108852706935009280_1109520999266086913.png,Sat Mar 23 18:23:14 +0000 2019
